City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
punta arenas,40,CL,1586119821,52,-53.15,-70.92,281.15,9.3
east london,100,ZA,1586119821,74,-33.02,27.91,294.71,5.89
mataura,100,NZ,1586119821,82,-46.19,168.86,288.71,1.34
praia,20,CV,1586119617,69,14.92,-23.51,296.15,10.3
bengkulu,99,ID,1586119822,86,-3.8,102.27,297.99,2.8
bredasdorp,94,ZA,1586119527,82,-34.53,20.04,289.15,5.7
iracoubo,98,GF,1586119822,80,5.48,-53.2,300.33,5.45
puerto ayora,20,EC,1586119822,74,-0.74,-90.35,302.15,5.7
sinnamary,96,GF,1586119823,80,5.38,-52.95,300.52,6.16
butaritari,16,KI,1586119823,77,3.07,172.79,301.27,5
mezhova,0,UA,1586119823,62,48.25,36.73,277.46,5.55
hetauda,20,NP,1586119823,71,27.43,85.03,286.15,1
narsaq,83,GL,1586119824,22,60.92,-46.05,272.15,4.1
bantou,95,CN,1586119824,73,26.22,117.49,285.16,0.68
khatanga,99,RU,1586119824,97,71.97,102.5,271.93,6.27
airai,33,TL,1586119824,67,-8.93,125.41,289.11,0.72
rikitea,80,PF,1586119825,65,-23.12,-134.97,297.02,4.76
mattru,19,SL,1586119825,81,7.62,-11.83,300.67,2.18
touros,20,BR,1586119825,79,-5.2,-35.46,302.15,4.6
castro,13,BR,1586119730,52,-24.79,-50.01,292.56,0.78
fortuna,75,US,1586119826,76,40.6,-124.16,284.26,4.6
mlonggo,77,ID,1586119826,79,-6.53,110.7,300.15,1.94
jamestown,1,US,1586119735,66,42.1,-79.24,283.71,4.1
atuona,22,PF,1586119826,76,-9.8,-139.03,300.7,6.43
morros,71,BR,1586119827,54,-9.45,-46.3,301.52,2.16
madera,90,US,1586119827,67,37.17,-119.83,288.15,6.7
tres picos,3,MX,1586119827,43,15.87,-93.53,307,3.39
grand island,40,US,1586119820,62,40.92,-98.34,287.59,8.7
povenets,66,RU,1586119827,94,62.85,34.83,268.01,2.82
ushuaia,75,AR,1586119552,80,-54.8,-68.3,277.15,14.4
torbat-e jam,100,IR,1586119828,54,35.24,60.62,283.86,3.16
bluff,100,NZ,1586119828,82,-46.6,168.33,288.71,1.34
naze,90,JP,1586119828,63,28.37,129.48,290.15,4.6
dongsheng,0,CN,1586119828,34,39.82,109.98,279.53,3.59
coihaique,40,CL,1586119684,56,-45.58,-72.07,283.15,2.6
new norfolk,20,AU,1586119829,61,-42.78,147.06,283.15,5.7
iqaluit,40,CA,1586119829,71,63.75,-68.51,260.15,5.7
uyar,0,RU,1586119829,83,55.81,94.32,272.12,5.38
kota belud,20,MY,1586119829,88,6.35,116.43,300.37,1.5
hasaki,20,JP,1586119830,75,35.73,140.83,278.15,1.5
kankon,95,IN,1586119830,78,15.02,74.02,300.27,0.46
sitka,75,US,1586119830,60,57.05,-135.33,277.15,1.5
