City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vilcun,20,CL,1586119831,59,-38.65,-72.23,290.15,5.1
hobart,20,AU,1586119611,66,-42.88,147.33,282.59,4.1
faanui,4,PF,1586119831,74,-16.48,-151.75,301.62,4.71
vaini,75,TO,1586119831,78,-21.2,-175.2,298.15,2.6
christchurch,100,NZ,1586119619,93,-43.53,172.63,288.71,3.6
sistranda,100,NO,1586119881,77,63.73,8.83,279.15,8.7
hermanus,81,ZA,1586119881,99,-34.42,19.23,288.15,3.58
chokurdakh,100,RU,1586119881,96,70.63,147.92,260.74,3.52
maniitsoq,0,GL,1586119881,86,65.42,-52.9,268.48,2.37
souillac,40,MU,1586119881,74,-20.52,57.52,299.15,4.6
lasa,5,IT,1586119882,69,46.62,10.7,288.15,1
atar,0,MR,1586119882,21,20.52,-13.05,301.2,3.78
mar del plata,100,AR,1586119859,60,-38,-57.56,297.15,5.1
victoria,40,HK,1586119637,88,22.29,114.16,290.37,3.1
isabela,12,PH,1586119882,82,6.71,121.97,297.88,0.91
fomboni,6,KM,1586119883,64,-12.28,43.74,301.77,1.06
sao joao da barra,75,BR,1586119883,73,-21.64,-41.05,298.15,1
alofi,75,NU,1586119883,83,-19.06,-169.92,299.15,3.6
los llanos de aridane,11,ES,1586119883,88,28.66,-17.92,294.15,1.5
kaeo,98,NZ,1586119884,83,-35.1,173.78,290.37,0.45
cape town,20,ZA,1586119650,93,-33.93,18.42,288.71,2.6
bonnyville,90,CA,1586119884,62,54.27,-110.73,268.15,4.1
ponta do sol,75,PT,1586119884,82,32.67,-17.1,293.15,3.6
conceicao do araguaia,97,BR,1586119885,83,-8.26,-49.26,300.29,0.45
nouadhibou,0,MR,1586119885,77,20.93,-17.03,293.15,8.7
soyo,38,AO,1586119885,87,-6.13,12.37,300.3,4.25
praia da vitoria,75,PT,1586119885,87,38.73,-27.07,286.15,6.38
albany,90,US,1586119886,55,42.6,-73.97,289.26,4.6
viedma,20,AR,1586119886,35,-40.81,-63,291.32,11.19
una,0,IN,1586119886,45,20.82,71.03,300.16,5.1
anadyr,20,RU,1586119886,83,64.75,177.48,252.59,7
port-gentil,12,GA,1586119837,84,-0.72,8.78,300.7,5.55
vardo,76,NO,1586119887,67,70.37,31.11,267.15,7.2
tadine,90,NC,1586119887,73,-21.55,167.88,299.2,9.5
saint-philippe,18,RE,1586119887,83,-21.36,55.77,297.15,2.6
yumen,59,CN,1586119887,27,40.28,97.2,280.38,2.38
kiunga,85,PG,1586119888,97,-6.12,141.29,296.02,0.79
iskateley,68,RU,1586119888,95,67.68,53.15,264.1,2.78
waingapu,34,ID,1586119888,77,-9.66,120.26,299.16,1.05
kununurra,75,AU,1586119888,94,-15.77,128.73,297.15,2.58
alice springs,64,AU,1586119889,76,-23.7,133.88,283.15,3.87
yulara,88,AU,1586119889,38,-25.24,130.99,288.15,2.6
galle,24,LK,1586119889,75,6.04,80.22,299.79,1.18
karratha,90,AU,1586119889,65,-20.74,116.85,299.63,3.7
busselton,70,AU,1586119667,44,-33.65,115.33,290.93,5.39
solnechnyy,0,RU,1586119890,90,50.72,136.63,269.18,2.06
borogontsy,91,RU,1586119890,93,62.67,131.17,257.57,1.9
coquimbo,0,CL,1586119890,68,-29.95,-71.34,292.15,5.1
severo-kurilsk,32,RU,1586119941,89,50.68,156.12,273.67,5.87
talcahuano,0,CL,1586119941,55,-36.72,-73.12,292.15,7.2
vikhorevka,0,RU,1586119941,46,56.12,101.16,271.15,3
yellowknife,20,CA,1586119923,48,62.46,-114.35,267.15,6.2
ngorongoro,95,TZ,1586119689,60,-3.24,35.49,285.6,1.78
hirara,100,JP,1586119942,63,24.8,125.28,293.67,7.15
guerrero negro,100,MX,1586119672,55,27.98,-114.06,291.31,5.91
cabo san lucas,75,MX,1586119942,32,22.89,-109.91,304.82,3.6
lazaro cardenas,0,MX,1586119942,49,17.96,-102.2,303.28,3.99
hamilton,90,US,1586119943,67,39.18,-84.53,288.71,1.5
carnarvon,32,AU,1586119943,83,-24.87,113.63,295.15,4.6
itoman,75,JP,1586119943,63,26.12,127.67,292.15,3.1
russellville,75,US,1586119943,64,35.28,-93.13,294.82,2.6
chuy,81,UY,1586119943,66,-33.7,-53.46,294.55,2.94
kansk,0,RU,1586119944,88,56.2,95.72,272.44,5.98
ribeira grande,75,PT,1586119944,77,38.52,-28.7,289.15,3.1
berlevag,75,NO,1586119944,92,70.86,29.09,270.15,11.3
kaitangata,100,NZ,1586119944,93,-46.28,169.85,287.04,0.89
pisco,0,PE,1586119944,30,-13.7,-76.22,295.93,5.1
upernavik,74,GL,1586119945,80,72.79,-56.15,262.82,0.88
ampanihy,86,MG,1586119945,54,-24.7,44.75,297.06,3.2
qaanaaq,100,GL,1586119945,84,77.48,-69.36,262.34,0.86
arica,21,CL,1586119798,65,-18.48,-70.3,298.15,4.6
sabha,0,LY,1586119945,22,27.04,14.43,292.95,5.07
alta floresta,92,BR,1586119946,80,-9.88,-56.09,300.48,1.41
kismayo,59,SO,1586119379,73,-0.36,42.55,301.65,4.79
juiz de fora,75,BR,1586119946,88,-21.76,-43.35,292.15,4.1
makakilo city,75,US,1586119946,74,21.35,-158.09,300.15,1.5
nikolskoye,1,RU,1586119946,74,59.7,30.79,271.15,2
faya,5,SA,1586119947,63,18.39,42.45,290.15,3.34
dikson,99,RU,1586119947,96,73.51,80.55,262.38,2.57
mahebourg,40,MU,1586119947,74,-20.41,57.7,299.15,4.6
wellington,16,NZ,1586119808,76,-41.29,174.78,287.59,5.1
hof,1,DE,1586119948,37,50.32,11.92,284.15,3.1
ulsteinvik,100,NO,1586119948,37,62.34,5.85,284.15,12.9
esperance,90,AU,1586119948,76,-33.87,121.9,287.15,4.6
vila velha,75,BR,1586119765,73,-20.33,-40.29,298.15,3.6
port alfred,99,ZA,1586119948,80,-33.59,26.89,292.16,5.39
kloulklubed,75,PW,1586119948,88,7.04,134.26,297.15,2.1
kodiak,1,US,1586119949,44,57.79,-152.41,277.15,6.2
kinsale,75,IE,1586119949,93,51.71,-8.53,282.59,7.7
norrtalje,17,SE,1586119949,81,59.76,18.7,279.82,4.1
aklavik,75,CA,1586119949,73,68.22,-135.01,269.15,6.7
cidreira,0,BR,1586119950,76,-30.18,-50.21,295.08,6.9
hilo,90,US,1586119950,88,19.73,-155.09,296.15,1.5
georgetown,40,MY,1586119512,100,5.41,100.34,299.15,1.5
rumoi,70,JP,1586119950,89,43.93,141.64,275.14,4.1
san cristobal,40,VE,1586119950,47,7.77,-72.22,308.15,5.1
goundam,0,ML,1586120001,10,16.41,-3.67,305.64,4.89
pevek,100,RU,1586120001,91,69.7,170.31,251.14,1.7
arman,100,RU,1586120001,95,59.7,150.17,264.05,2.22
svetlaya,100,RU,1586120001,89,46.54,138.33,274.77,6.46
saint anthony,1,US,1586120002,24,45.02,-93.22,287.15,3.1
tuktoyaktuk,90,CA,1586120002,73,69.45,-133.04,267.15,11.8
bandarbeyla,0,SO,1586119982,69,9.49,50.81,299.9,3.63
nchelenge,90,ZM,1586120003,54,-9.35,28.73,294.88,0.95
boddam,99,GB,1586120003,76,57.47,-1.78,282.59,11.3
wanning,61,CN,1586120003,88,18.8,110.4,296.91,3.11
nagato,0,JP,1586120003,75,34.38,131.2,280.15,2.6
beloha,98,MG,1586120003,61,-25.17,45.05,296.45,3.87
klaksvik,100,FO,1586120004,76,62.23,-6.59,282.15,7.7
olinda,40,BR,1586120004,74,-8.01,-34.86,303.15,3.6
frolishchi,46,RU,1586120004,89,56.42,42.65,272.36,3.89
prado,65,BR,1586120004,80,-17.34,-39.22,299,6.82
santona,97,ES,1586119898,52,43.44,-3.46,293.15,3.6
hargeysa,10,SO,1586119947,58,9.56,44.06,294.05,2.58
luoyang,100,CN,1586120005,55,34.68,112.45,285.61,0.86
dunedin,100,NZ,1586120005,94,-45.87,170.5,288.15,0.89
gat,52,IL,1586120006,82,31.61,34.76,290.93,1
kutum,21,SD,1586120006,10,14.2,24.67,296.96,5.29
ponta delgada,20,PT,1586120006,93,37.73,-25.67,288.15,3.76
weligama,28,LK,1586119830,80,5.97,80.42,298.59,1.12
yar-sale,100,RU,1586120007,99,66.83,70.83,273.04,1.79
joshimath,16,IN,1586120007,24,30.57,79.57,278.82,2.42
kahului,40,US,1586120007,61,20.89,-156.47,300.15,4.1
bure,94,ET,1586120007,30,10.7,37.07,292.13,1.9
pontal do parana,20,BR,1586120008,68,-25.65,-48.51,298.71,5.1
baghdad,100,IQ,1586119725,42,33.34,44.4,293.15,1
hambantota,0,LK,1586120008,74,6.12,81.12,299.91,1.69
opuwo,96,NA,1586119595,37,-18.06,13.84,296.42,2.96
raudeberg,100,NO,1586120008,64,61.99,5.14,284.15,10.3
asfi,60,MA,1586120009,88,32.3,-9.24,290.82,3.15
kantemirovka,49,RU,1586120009,68,49.71,39.86,276.12,6.4
leshukonskoye,100,RU,1586120009,96,64.9,45.76,268.35,3.85
kapaa,1,US,1586119801,78,22.08,-159.32,299.26,4.1
sao filipe,0,CV,1586119870,77,14.9,-24.5,296.05,5.33
shitkino,0,RU,1586120010,90,56.37,98.35,271.99,3.51
nyon,0,CH,1586119715,50,46.38,6.24,284.15,0.5
troitskoye,3,RU,1586120010,91,52.98,84.68,272.61,2.81
urumqi,14,CN,1586119946,22,43.8,87.6,286.15,5
rio gallegos,75,AR,1586120061,34,-51.62,-69.22,283.15,10.8
saint-francois,0,FR,1586120061,31,46.42,3.91,289.15,5.7
boca do acre,97,BR,1586120061,56,-8.75,-67.4,305.35,0.7
tiksi,93,RU,1586120061,93,71.69,128.87,264.83,9.45
lorengau,87,PG,1586120062,78,-2.02,147.27,300.88,5.1
port elizabeth,100,ZA,1586120062,77,-33.92,25.57,291.15,7.7
cayenne,75,GF,1586119867,74,4.93,-52.33,302.15,6.2
uniao,40,BR,1586120062,59,-4.59,-42.86,306.15,2.1
vestmanna,100,FO,1586120062,76,62.16,-7.17,282.15,7.7
lufilufi,99,WS,1586120063,83,-13.87,-171.6,299.82,2.24
hithadhoo,0,MV,1586120063,73,-0.6,73.08,301.36,2.14
russell,20,US,1586120063,44,32.35,-85.2,301.48,1.33
saldanha,83,ZA,1586120064,82,-33.01,17.94,290.15,0.5
san isidro,0,PE,1586120064,61,-12.12,-77.05,299.15,6.2
araouane,0,ML,1586119706,10,18.9,-3.53,303.51,4.16
tefe,40,BR,1586120065,84,-3.35,-64.71,303.15,1
grindavik,90,IS,1586120065,100,63.84,-22.43,275.15,16.5
codrington,15,AU,1586120065,72,-38.27,141.97,284.33,3.44
puerto berrio,100,CO,1586120065,56,6.49,-74.4,306.26,1.55
deputatskiy,28,RU,1586120065,87,69.3,139.9,255.99,2.23
palana,100,RU,1586120066,95,59.12,159.97,266.54,9.32
hervey bay,3,AU,1586120066,88,-25.3,152.85,294.26,3.1
mwanza,99,TZ,1586119948,59,-2.52,32.9,293.55,4.5
motygino,0,RU,1586120067,93,58.18,94.76,268.58,2.16
barrow,1,US,1586120067,85,71.29,-156.79,266.15,5.1
norman wells,20,CA,1586120067,62,65.28,-126.83,268.15,10.8
thinadhoo,18,MV,1586120067,74,0.53,72.93,301.59,3
tasiilaq,100,GL,1586120067,76,65.61,-37.64,260.67,4.43
beringovskiy,73,RU,1586120068,85,63.05,179.32,257.85,5.09
eyl,8,SO,1586120068,72,7.98,49.82,300.35,4.96
olafsvik,100,IS,1586120068,97,64.89,-23.71,272.05,25.85
ulaangom,2,MN,1586120068,76,49.98,92.07,265.57,1.1
auki,95,SB,1586120069,81,-8.77,160.7,301.06,6.48
huinan,0,CN,1586120069,66,42.62,126.26,272.42,1.5
mitu,71,CO,1586120069,68,1.2,-70.17,302.81,0.25
ismailia,68,EG,1586120069,66,30.6,32.27,291.12,3.26
cururupu,100,BR,1586120070,86,-1.83,-44.87,300.16,3.24
mpika,5,ZM,1586120070,62,-11.83,31.45,289.34,1.19
ilulissat,0,GL,1586120070,36,69.22,-51.1,264.15,13.9
petropavlovsk-kamchatskiy,0,RU,1586120070,62,53.05,158.65,266.15,2
vestmannaeyjar,100,IS,1586120071,94,63.44,-20.27,280.79,13.7
cortez,1,US,1586120121,18,37.35,-108.59,290.15,7.2
kavieng,93,PG,1586120121,75,-2.57,150.8,301.61,4.53
taitung,97,TW,1586120121,72,22.76,121.14,293.5,4.39
springdale,90,US,1586120086,100,36.19,-94.13,289.26,3.89
half moon bay,75,US,1586120122,81,37.46,-122.43,285.37,4.1
lumut,40,MY,1586120122,100,4.23,100.63,297.15,1.51
pedro juan caballero,75,PY,1586120122,55,-22.55,-55.73,303.15,2.1
husavik,90,IS,1586120122,80,66.04,-17.34,272.15,7.2
geraldton,0,AU,1586120122,93,-28.77,114.6,289.15,3.1
shahrud,9,IR,1586120123,44,36.42,54.98,279.68,1.89
bafia,44,CM,1586120045,76,4.75,11.23,296.56,2.58
margate,0,GB,1586120104,50,51.38,1.39,288.71,3.6
kungurtug,99,RU,1586120123,54,50.6,97.52,272.5,2.6
brae,100,GB,1586120124,81,60.4,-1.35,281.15,12.9
flinders,0,AU,1586120124,72,-34.58,150.86,288.71,5.1
saskylakh,96,RU,1586120125,96,71.92,114.08,271.17,7.8
avarua,75,CK,1586120125,83,-21.21,-159.78,300.15,5.7
maragogi,9,BR,1586120125,81,-9.01,-35.22,300.85,4.65
torbay,75,CA,1586119936,74,47.67,-52.73,272.04,5.1
owando,11,CG,1586120125,80,-0.48,15.9,297.07,0.79
rocha,100,UY,1586120126,59,-34.48,-54.33,294.92,2.77
omsukchan,73,RU,1586120126,84,62.53,155.8,260.37,2.32
kruisfontein,100,ZA,1586119612,71,-34,24.73,290.81,6.79
abha,3,SA,1586120126,63,18.22,42.51,290.15,2.37
tuatapere,100,NZ,1586120127,82,-46.13,167.68,288.71,1.34
arraial do cabo,75,BR,1586120127,65,-22.97,-42.03,299.15,3.1
bonthe,2,SL,1586120127,83,7.53,-12.51,301.28,3.22
jatiroto,95,ID,1586120128,84,-7.88,111.12,296.9,0.39
dhidhdhoo,73,MV,1586120128,68,6.88,73.1,301.87,0.97
north platte,1,US,1586120128,36,41.12,-100.77,291.15,7.7
dankov,3,RU,1586120128,74,53.25,39.16,271.15,4
buala,77,SB,1586120128,79,-8.14,159.59,300.81,5.63
talnakh,40,RU,1586120129,100,69.49,88.4,272.15,7
diffa,32,NE,1586120129,14,13.32,12.61,303.24,1.21
malartic,20,CA,1586120129,55,48.13,-78.13,278.15,4.6
taoudenni,0,ML,1586120129,13,22.68,-3.98,301.83,2.79
namatanai,29,PG,1586120130,73,-3.67,152.43,300.71,1.91
hershey,75,US,1586120130,45,40.29,-76.65,293.15,2.6
port hardy,20,CA,1586120130,61,50.7,-127.42,281.15,6.2
isangel,100,VU,1586120130,85,-19.55,169.27,299.37,8.54
mahanoro,31,MG,1586119873,80,-19.9,48.8,296.74,3.49
bethel,90,US,1586120131,62,41.37,-73.41,290.37,3.1
empalme,40,MX,1586120131,53,27.97,-110.82,302.04,5.1
apiai,0,BR,1586119864,64,-24.51,-48.84,291.75,0.87
lompoc,100,US,1586119892,87,34.64,-120.46,287.59,5.7
hofn,100,IS,1586120132,86,64.25,-15.21,280.71,7.8
krasnyy chikoy,95,RU,1586120181,62,50.36,108.75,272.79,2.33
osoyoos,90,CA,1586120181,38,49.03,-119.45,283.15,4.1
portland,75,US,1586119515,47,45.52,-122.68,289.82,1.5
gora kalwaria,0,PL,1586120181,44,51.98,21.22,283.15,2.6
sardarshahr,11,IN,1586120182,30,28.43,74.48,299.46,5.41
shirokiy,100,RU,1586120182,83,49.76,129.52,272.42,2.13
pauini,99,BR,1586120111,76,-7.71,-66.98,303.08,0.63
lebu,0,CL,1586120182,63,-37.62,-73.65,288.94,4.92
mount gambier,90,AU,1586120182,93,-37.83,140.77,283.15,2.1
haines junction,95,CA,1586120183,73,60.75,-137.51,271.95,4
san quintin,7,MX,1586120183,61,30.48,-115.95,289.68,4.73
hovd,0,MN,1586120183,49,48.01,91.64,271.84,1.03
shubarkuduk,88,KZ,1586120183,71,49.14,56.49,280.18,6.35
mandalgovi,95,MN,1586120184,33,45.76,106.27,277.88,3.75
gizo,87,SB,1586120184,75,-8.1,156.84,300.53,5.29
krasnoselkup,100,RU,1586120184,95,65.7,82.47,272.01,7.87
laguna,90,US,1586120184,87,38.42,-121.42,286.48,3.6
ahipara,100,NZ,1586120184,64,-35.17,173.17,290.69,5.22
terrace bay,20,CA,1586120185,72,48.78,-87.1,273.15,4.1
bilibino,74,RU,1586120185,84,68.05,166.44,251.16,0.47
aketi,54,CD,1586120185,76,2.74,23.78,295.55,0.43
nyurba,24,RU,1586120185,96,63.28,118.33,270.89,3.71
qaqortoq,91,GL,1586120185,22,60.72,-46.03,272.15,4.1
coari,82,BR,1586120186,76,-4.08,-63.14,303,1.33
mildura,75,AU,1586120186,100,-34.2,142.15,285.15,2.1
warmbad,49,NA,1586120186,23,-28.45,18.73,291.62,5.22
cairns,40,AU,1586120135,83,-16.92,145.77,298.15,2.6
komsomolskiy,63,UZ,1586120187,72,40.43,71.72,288.15,2.1
severodvinsk,90,RU,1586120185,92,64.56,39.83,268.15,2
utica,75,US,1586119929,62,43.1,-75.23,287.59,5.7
poum,100,NC,1586120188,77,-20.23,164.02,299.74,9.31
mahanje,11,TZ,1586120188,71,-9.93,35.33,291.3,0.68
salalah,0,OM,1586120188,78,17.02,54.09,300.15,0.5
salta,40,AR,1586120066,53,-24.79,-65.41,298.15,1.5
cody,1,US,1586120110,20,44.53,-109.06,288.71,4.6
yinchuan,17,CN,1586120189,27,38.47,106.27,283.43,0.93
khovu-aksy,74,RU,1586120189,74,51.13,93.6,267.9,0.62
telford,89,GB,1586120103,54,52.68,-2.45,288.71,7.2
savannah bight,1,HN,1586120189,75,16.45,-85.85,300.68,8.35
moron,100,AR,1586120190,60,-34.65,-58.62,297.04,2.1
thompson,40,CA,1586119972,57,55.74,-97.86,268.15,3.1
provideniya,100,RU,1586120190,86,64.38,-173.3,259.17,5.2
alexandria,100,EG,1586119902,77,31.22,29.96,290.15,2.6
molo,56,KE,1586120190,45,-0.25,35.74,284.7,1.09
goderich,54,CA,1586120191,75,43.75,-81.72,278.71,5.32
santa rosalia,100,MX,1586120191,26,27.32,-112.28,296.64,0.25
mayskiy,0,RU,1586120191,37,47.69,40.1,277.04,4
san vicente,39,AR,1586120191,44,-26.62,-54.13,298.44,0.05
vostok,100,RU,1586120241,89,46.49,135.88,269.75,1.6
beba,20,CU,1586120241,40,22.44,-79.73,305.15,6.7
vangaindrano,88,MG,1586120241,87,-23.35,47.6,293.88,1.01
raga,63,SS,1586120241,21,8.46,25.68,298.58,2.9
cherskiy,0,RU,1586120241,89,68.75,161.3,254.28,5.73
huilong,80,CN,1586120242,80,31.81,121.66,282.59,1.86
barcelos,75,PT,1586120242,100,41.54,-8.62,287.15,1.5
jacareacanga,63,BR,1586120242,72,-6.22,-57.75,303.22,1.16
nefteyugansk,20,RU,1586120000,100,61.1,72.6,276.15,2
luderitz,1,NA,1586120242,93,-26.65,15.16,287.15,4.1
baltiysk,0,RU,1586120243,80,54.65,19.91,277.15,3
gorontalo,2,ID,1586120243,86,0.54,123.06,296.58,1.71
bathsheba,40,BB,1586120243,66,13.22,-59.52,303.15,6.7
samarai,72,PG,1586120243,76,-10.62,150.67,298.66,5.39
thasra,0,IN,1586120243,36,22.8,73.22,298.15,1.68
rodeo,90,US,1586120244,76,38.03,-122.27,286.48,6.2
jinchang,60,CN,1586120244,27,38.5,102.17,279.62,0.92
nalut,24,LY,1586120244,28,30.33,10.85,289.02,4.26
tilichiki,80,RU,1586120244,94,60.47,166.1,261.11,1.62
togur,94,RU,1586120245,95,58.36,82.83,272.37,4.61
naron,61,ES,1586120245,82,43.52,-8.15,287.59,1.5
kichera,0,RU,1586120245,70,55.94,110.1,266.38,2.46
redondela,75,ES,1586120245,93,42.28,-8.61,288.71,1
belaya gora,100,RU,1586120246,96,68.53,146.42,262.47,2.62
nemuro,2,JP,1586120246,85,43.32,145.57,275.12,6.08
tezu,71,IN,1586120246,28,27.92,96.17,292.96,1.2
port lincoln,74,AU,1586120246,81,-34.73,135.87,289.16,2.75
yangambi,80,CD,1586120247,81,0.81,24.43,294.98,0.26
meulaboh,99,ID,1586120247,82,4.14,96.13,299.37,1.63
nuuk,0,GL,1586120247,46,64.18,-51.72,272.15,3.1
makat,76,KZ,1586120247,76,47.65,53.35,282.43,7.35
caravelas,43,BR,1586120248,78,-17.71,-39.25,299.2,6.67
verkhoyansk,84,RU,1586120248,88,67.54,133.38,260.18,3.24
maunabo,90,PR,1586120248,66,18.01,-65.9,302.15,3.1
semey,68,KZ,1586120248,66,50.41,80.23,282.4,2.02
kaabong,50,UG,1586120248,43,3.48,34.15,294.77,4.96
willowmore,100,ZA,1586120249,54,-33.29,23.49,288.4,1.79
lavrentiya,100,RU,1586120249,88,65.58,-171,260.98,4.39
comodoro rivadavia,40,AR,1586120079,34,-45.87,-67.5,289.15,5.1
dioknisi,90,GE,1586120249,82,41.63,42.39,286.15,2.1
altay,0,CN,1586120250,42,47.87,88.12,276.98,2.77
pfullendorf,0,DE,1586120250,70,47.92,9.25,283.15,1
clyde river,20,CA,1586120250,66,70.47,-68.59,262.15,9.8
brookings,75,US,1586120124,43,44.31,-96.8,286.15,7.2
dombas,100,NO,1586120250,76,62.07,9.12,272.32,2.6
sesheke,74,ZM,1586120251,88,-17.48,24.3,294.15,1
moreno valley,90,US,1586120115,58,33.94,-117.23,291.15,2.6
zyryanka,95,RU,1586120301,90,65.75,150.85,259.28,4.01
macau,40,MO,1586120155,100,22.2,113.55,290.93,3.1
grand gaube,40,MU,1586120103,74,-20.01,57.66,299.15,4.6
nantucket,90,US,1586120301,75,41.28,-70.1,283.71,3.6
saint-georges,20,GD,1586120302,74,12.06,-61.75,302.15,7.7
shelburne,75,CA,1586120302,53,44.08,-80.2,285.93,5.1
yarada,17,IN,1586120302,81,17.65,83.27,299.91,3.71
sena madureira,84,BR,1586120302,55,-9.07,-68.66,305.27,0.39
ewa beach,75,US,1586120185,61,21.32,-158.01,300.15,1.5
labytnangi,99,RU,1586120303,97,66.66,66.42,271.71,1.78
ahuimanu,40,US,1586120303,69,21.44,-157.84,300.15,2.6
hibbing,1,US,1586120151,39,47.43,-92.94,284.15,3.1
pochutla,40,MX,1586120303,38,15.74,-96.47,305.37,6.7
lewistown,40,US,1586120304,42,40.6,-77.57,293.71,3.1
les escoumins,100,CA,1586120304,93,48.11,-69.02,274.21,3.33
cercany,0,CZ,1586120225,39,49.85,14.7,283.15,4.6
nome,90,US,1586120087,85,64.5,-165.41,262.15,12.9
saint-augustin,99,CA,1586120256,97,51.23,-58.65,272.18,3.97
saint george,1,US,1586120274,26,37.1,-113.58,294.15,10.8
mercedes,100,AR,1586120305,56,-34.65,-59.43,298.15,2.41
lagoa,98,PT,1586120305,83,39.05,-27.98,286.6,7.03
iaciara,47,BR,1586120305,71,-14.1,-46.63,298.63,1.14
plettenberg bay,89,ZA,1586120305,76,-34.05,23.37,291.46,3.75
bud,90,US,1586120305,71,39.45,-86.18,288.15,2.1
kisesa,99,TZ,1586120306,64,-3.08,34.15,291.13,2.69
burnie,21,AU,1586120306,88,-41.07,145.92,280.93,1.34
sarata,0,UA,1586120306,50,46.02,29.67,281.5,7.41
roebourne,93,AU,1586120306,60,-20.78,117.13,299.61,3.76
malumfashi,48,NG,1586120307,17,11.79,7.62,302.85,2.8
silver city,1,US,1586120307,16,32.77,-108.28,294.82,5.1
mazyr,14,BY,1586120307,70,52.05,29.25,276.42,2.61
hay river,20,CA,1586120307,65,60.82,-115.8,260.15,3.1
guatire,93,VE,1586120308,78,10.48,-66.54,298.15,1.34
lins,0,BR,1586120308,60,-21.68,-49.74,297.53,0.98
oga,2,IT,1586120308,48,46.46,10.35,276.15,2.1
puerto escondido,40,MX,1586120308,74,15.85,-97.07,302.15,5.7
flin flon,20,CA,1586120309,35,54.77,-101.86,270.15,2.1
srednekolymsk,100,RU,1586120309,91,67.45,153.68,259.67,2.55
biskamzha,0,RU,1586120309,83,53.45,89.53,270.69,1.61
fort nelson,40,CA,1586120309,46,58.81,-122.7,272.15,2.1
kavaratti,84,IN,1586120309,71,10.57,72.64,301.51,2.29
aldan,100,RU,1586120310,89,58.6,125.39,262.89,3.03
esmeraldas,40,BR,1586120310,45,-19.76,-44.31,303.15,2.6
leningradskiy,100,RU,1586120310,88,69.38,178.42,254.36,8.45
lulea,97,SE,1586120361,67,65.58,22.15,268.15,1
uige,68,AO,1586120361,76,-7.61,15.06,293.52,0.76
turukhansk,74,RU,1586120361,95,65.82,87.98,273,8.27
zhigalovo,0,RU,1586120361,88,54.81,105.16,268.01,1.03
padre paraiso,39,BR,1586120361,78,-17.07,-41.48,294.14,1.73
porto torres,0,IT,1586120362,93,40.84,8.4,283.15,1.5
